Year_Period,Start Date,End Date,Days In Period,Journey Type,Number Of Journeys (m)
19/20_08,13-Oct-2019,09-Nov-2019,28,Underground,113.2830611
19/20_09,10-Nov-2019,07-Dec-2019,28,Bus,176.2157208
19/20_09,10-Nov-2019,07-Dec-2019,28,DLR,9.844768601
19/20_09,10-Nov-2019,07-Dec-2019,28,Emirates Airline,0.075864
19/20_09,10-Nov-2019,07-Dec-2019,28,Overground,15.83140693
19/20_09,10-Nov-2019,07-Dec-2019,28,TfL Rail,4.963376783
19/20_09,10-Nov-2019,07-Dec-2019,28,Tram,2.315897918
19/20_09,10-Nov-2019,07-Dec-2019,28,Underground,117.5464318
19/20_10,08-Dec-2019,04-Jan-2020,28,Bus,140.9879969
19/20_10,08-Dec-2019,04-Jan-2020,28,DLR,7.510701186
19/20_10,08-Dec-2019,04-Jan-2020,28,Emirates Airline,0.086786
19/20_10,08-Dec-2019,04-Jan-2020,28,Overground,10.58719779
19/20_10,08-Dec-2019,04-Jan-2020,28,TfL Rail,4.346181188
19/20_10,08-Dec-2019,04-Jan-2020,28,Tram,1.909165289
19/20_10,08-Dec-2019,04-Jan-2020,28,Underground,91.20231391
19/20_11,05-Jan-2020,01-Feb-2020,28,Bus,169.4236583
19/20_11,05-Jan-2020,01-Feb-2020,28,DLR,9.188811355
19/20_11,05-Jan-2020,01-Feb-2020,28,Emirates Airline,0.060013
19/20_11,05-Jan-2020,01-Feb-2020,28,Overground,14.05691148
19/20_11,05-Jan-2020,01-Feb-2020,28,TfL Rail,5.668711093
19/20_11,05-Jan-2020,01-Feb-2020,28,Tram,2.306802813
19/20_11,05-Jan-2020,01-Feb-2020,28,Underground,105.8471547
19/20_12,02-Feb-2020,29-Feb-2020,28,Bus,165.1762223
19/20_12,02-Feb-2020,29-Feb-2020,28,DLR,9.282261765
19/20_12,02-Feb-2020,29-Feb-2020,28,Emirates Airline,0.061136
19/20_12,02-Feb-2020,29-Feb-2020,28,Overground,15.60820526
19/20_12,02-Feb-2020,29-Feb-2020,28,TfL Rail,5.240511429
19/20_12,02-Feb-2020,29-Feb-2020,28,Tram,2.196717919
19/20_12,02-Feb-2020,29-Feb-2020,28,Underground,106.2411282
19/20_13,01-Mar-2020,31-Mar-2020,29,Bus,126.4461613
19/20_13,01-Mar-2020,31-Mar-2020,29,DLR,6.061950204
19/20_13,01-Mar-2020,31-Mar-2020,29,Emirates Airline,0.013066
19/20_13,01-Mar-2020,31-Mar-2020,29,Overground,12.95458801
19/20_13,01-Mar-2020,31-Mar-2020,29,TfL Rail,3.493538637
19/20_13,01-Mar-2020,31-Mar-2020,29,Tram,1.609062342
19/20_13,01-Mar-2020,31-Mar-2020,29,Underground,60.9399269
20/21_01,01-Apr-2020,27-Apr-2020,28,Bus,30.21042392
20/21_01,01-Apr-2020,27-Apr-2020,28,DLR,1.205124847
20/21_01,01-Apr-2020,27-Apr-2020,28,Emirates Airline,0.000169
20/21_01,01-Apr-2020,27-Apr-2020,28,Overground,0.999692678
20/21_01,01-Apr-2020,27-Apr-2020,28,TfL Rail,0.594614839
20/21_01,01-Apr-2020,27-Apr-2020,28,Tram,0.440934103
20/21_01,01-Apr-2020,27-Apr-2020,28,Underground,5.745631919
20/21_02,28-Apr-2020,25-May-2020,28,Bus,32.4672429
20/21_02,28-Apr-2020,25-May-2020,28,DLR,1.358112461
20/21_02,28-Apr-2020,25-May-2020,28,Emirates Airline,0.004978
20/21_02,28-Apr-2020,25-May-2020,28,Overground,1.491889551
20/21_02,28-Apr-2020,25-May-2020,28,TfL Rail,0.700218177
20/21_02,28-Apr-2020,25-May-2020,28,Tram,0.470811182
20/21_02,28-Apr-2020,25-May-2020,28,Underground,6.682986737
20/21_03,26-May-2020,22-Jun-2020,28,Bus,46.95951983
20/21_03,26-May-2020,22-Jun-2020,28,DLR,2.133763106
20/21_03,26-May-2020,22-Jun-2020,28,Emirates Airline,0.015716
20/21_03,26-May-2020,22-Jun-2020,28,Overground,2.797743723
20/21_03,26-May-2020,22-Jun-2020,28,TfL Rail,1.15834799
20/21_03,26-May-2020,22-Jun-2020,28,Tram,0.704707251
20/21_03,26-May-2020,22-Jun-2020,28,Underground,13.30686
20/21_04,23-Jun-2020,20-Jul-2020,28,Bus,66.68135471
20/21_04,23-Jun-2020,20-Jul-2020,28,DLR,2.949872231
20/21_04,23-Jun-2020,20-Jul-2020,28,Emirates Airline,0.030059
20/21_04,23-Jun-2020,20-Jul-2020,28,Overground,4.431892164
20/21_04,23-Jun-2020,20-Jul-2020,28,TfL Rail,1.636938471
20/21_04,23-Jun-2020,20-Jul-2020,28,Tram,1.000114417
20/21_04,23-Jun-2020,20-Jul-2020,28,Underground,22.21073222
20/21_05,21-Jul-2020,17-Aug-2020,28,Bus,75.17395979
20/21_05,21-Jul-2020,17-Aug-2020,28,DLR,3.588900909
20/21_05,21-Jul-2020,17-Aug-2020,28,Emirates Airline,0.060884
20/21_05,21-Jul-2020,17-Aug-2020,28,Overground,5.511035659
20/21_05,21-Jul-2020,17-Aug-2020,28,TfL Rail,1.951687613
20/21_05,21-Jul-2020,17-Aug-2020,28,Tram,1.03842435
20/21_05,21-Jul-2020,17-Aug-2020,28,Underground,28.76560573
20/21_06,18-Aug-2020,14-Sep-2020,28,Bus,94.76144428
20/21_06,18-Aug-2020,14-Sep-2020,28,DLR,4.161391603
20/21_06,18-Aug-2020,14-Sep-2020,28,Emirates Airline,0.062419
20/21_06,18-Aug-2020,14-Sep-2020,28,Overground,6.195800934
20/21_06,18-Aug-2020,14-Sep-2020,28,TfL Rail,2.221982734
20/21_06,18-Aug-2020,14-Sep-2020,28,Tram,1.217863616
20/21_06,18-Aug-2020,14-Sep-2020,28,Underground,36.32026777
20/21_07,15-Sep-2020,12-Oct-2020,28,Bus,102.0277362
20/21_07,15-Sep-2020,12-Oct-2020,28,DLR,4.473342311
20/21_07,15-Sep-2020,12-Oct-2020,28,Emirates Airline,0.039569
20/21_07,15-Sep-2020,12-Oct-2020,28,Overground,7.629966481
20/21_07,15-Sep-2020,12-Oct-2020,28,TfL Rail,2.478227899
20/21_07,15-Sep-2020,12-Oct-2020,28,Tram,1.386815393
20/21_07,15-Sep-2020,12-Oct-2020,28,Underground,39.49871554
